x,y,yaw
-4.995875167846679688e+01,1.493117713928222656e+01,2.038288116455078125e+00
-5.004885101318359375e+01,1.510968875885009766e+01,2.038122892379760742e+00
-5.013891601562500000e+01,1.528821277618408203e+01,2.037983417510986328e+00
-5.022896575927734375e+01,1.546675109863281250e+01,2.037868738174438477e+00
-5.031899261474609375e+01,1.564529514312744141e+01,2.037779331207275391e+00
-5.040900802612304688e+01,1.582384872436523438e+01,2.037715196609497070e+00
-5.049901199340820312e+01,1.600240707397460938e+01,2.037675857543945312e+00
-5.058901214599609375e+01,1.618096542358398438e+01,2.037661790847778320e+00
-5.067901229858398438e+01,1.635952758789062500e+01,2.037672519683837891e+00
-5.076901626586914062e+01,1.653808212280273438e+01,2.037708044052124023e+00
-5.085903167724609375e+01,1.671663856506347656e+01,2.037768125534057617e+00
-5.094905471801757812e+01,1.689518547058105469e+01,2.037852048873901367e+00
-5.103909683227539062e+01,1.707372093200683594e+01,2.037959814071655273e+00
-5.112916183471679688e+01,1.725225067138671875e+01,2.038097620010375977e+00
-5.121925354003906250e+01,1.743076324462890625e+01,2.038268089294433594e+00
-5.130937957763671875e+01,1.760926055908203125e+01,2.038471460342407227e+00
-5.139954376220703125e+01,1.778773689270019531e+01,2.038707256317138672e+00
-5.148975372314453125e+01,1.796619033813476562e+01,2.038975477218627930e+00
-5.158001327514648438e+01,1.814462089538574219e+01,2.039274692535400391e+00
-5.167033004760742188e+01,1.832301902770996094e+01,2.039603710174560547e+00
-5.176070785522460938e+01,1.850138854980468750e+01,2.039963006973266602e+00
-5.185115432739257812e+01,1.867972373962402344e+01,2.040352344512939453e+00
-5.194166946411132812e+01,1.885802268981933594e+01,2.040771722793579102e+00
-5.203226470947265625e+01,1.903628349304199219e+01,2.041221141815185547e+00
-5.212294006347656250e+01,1.921449851989746094e+01,2.041700601577758789e+00
-5.221370697021484375e+01,1.939267158508300781e+01,2.042210102081298828e+00
-5.230456542968750000e+01,1.957079696655273438e+01,2.042749643325805664e+00
-5.239551925659179688e+01,1.974887084960937500e+01,2.043318986892700195e+00
-5.248658370971679688e+01,1.992689323425292969e+01,2.043918371200561523e+00
-5.257775115966796875e+01,2.010485649108886719e+01,2.044547557830810547e+00
-5.266903686523437500e+01,2.028276443481445312e+01,2.045206785202026367e+00
-5.276044082641601562e+01,2.046060943603515625e+01,2.045895814895629883e+00
-5.285197067260742188e+01,2.063838768005371094e+01,2.046614885330200195e+00
-5.294363403320312500e+01,2.081610298156738281e+01,2.047363758087158203e+00
-5.303542709350585938e+01,2.099374389648437500e+01,2.048142433166503906e+00
-5.312736511230468750e+01,2.117131614685058594e+01,2.048951148986816406e+00
-5.321945190429687500e+01,2.134881019592285156e+01,2.049789428710937500e+00
-5.331168365478515625e+01,2.152622413635253906e+01,2.050657510757446289e+00
-5.340407562255859375e+01,2.170355987548828125e+01,2.051555633544921875e+00
-5.349662780761718750e+01,2.188080978393554688e+01,2.052483320236206055e+00
-5.358935165405273438e+01,2.205797195434570312e+01,2.053440809249877930e+00
-5.368224334716796875e+01,2.223504447937011719e+01,2.054428100585937500e+00
-5.377531433105468750e+01,2.241202354431152344e+01,2.055444955825805664e+00
-5.386856460571289062e+01,2.258890724182128906e+01,2.056491613388061523e+00
-5.396200561523437500e+01,2.276568984985351562e+01,2.057568073272705078e+00
-5.405564117431640625e+01,2.294237327575683594e+01,2.058674097061157227e+00
-5.414947128295898438e+01,2.311894989013671875e+01,2.059809684753417969e+00
-5.424350357055664062e+01,2.329541778564453125e+01,2.060975074768066406e+00
-5.433774566650390625e+01,2.347177505493164062e+01,2.062170028686523438e+00
-5.443220138549804688e+01,2.364801788330078125e+01,2.063394784927368164e+00
-5.452687835693359375e+01,2.382414627075195312e+01,2.064648866653442383e+00
